"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15109","should upload a cricket.txt file","chromium","2026-07-03","passed","2026-07-03","Cart","Cart.spec.ts","",""
"","14019","should upload a Test.txt file","chromium","2026-07-03","passed","2026-07-03","Cart","Cart.spec.ts","",""
